City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Sao Filipe,CV,14.8961,-24.4956,22.29,79,8,4.1,clear sky
225,Bolu,TR,40.6667,31.5833,15.79,38,100,4.7,overcast clouds
226,Luang Prabang,LA,19.8856,102.1347,21.04,86,100,1.53,overcast clouds
227,Bologoye,RU,57.8799,34.1068,-4.37,88,98,2.85,overcast clouds
228,Nisia Floresta,BR,-6.0911,-35.2086,30.45,77,100,4.39,overcast clouds
229,Englehart,CA,47.8169,-79.8664,0.01,59,75,7.72,broken clouds
230,Lemon Tree Passage,AU,-32.7327,152.036,16.62,74,100,1.34,overcast clouds
231,Laguna,US,38.421,-121.4238,23.34,47,0,1.54,clear sky
232,San Francisco,US,37.7749,-122.4194,23.8,66,0,3.13,clear sky
233,Grodzisk Wielkopolski,PL,52.2276,16.3653,3.97,45,100,7.54,overcast clouds
234,Chitipa,MW,-9.7024,33.2697,16.72,98,95,2.07,overcast clouds
235,Xining,CN,36.6167,101.7667,0.58,59,12,0.81,few clouds
236,Kruisfontein,ZA,-34.0033,24.7314,17.16,84,2,2.17,clear sky
237,Hailar,CN,49.2,119.7,-7.88,69,1,2.99,clear sky
238,Pelym,RU,61.0108,61.9978,-7.53,92,55,2.32,broken clouds
239,Yulara,AU,-25.2406,130.9889,17.91,29,100,3.09,overcast clouds
240,Goderich,CA,43.7501,-81.7165,-0.05,80,100,8.75,overcast clouds
241,Zyryanka,RU,65.75,150.85,-24.93,100,99,2.89,overcast clouds
242,Aklavik,CA,68.2191,-135.0107,-25.0,70,0,2.57,clear sky
243,Mahebourg,MU,-20.4081,57.7,24.16,100,75,5.66,light intensity shower rain
244,Pareora,NZ,-44.4871,171.2132,10.1,97,31,0.85,scattered clouds
245,Aloleng,PH,16.1307,119.7824,26.36,71,100,2.89,overcast clouds
246,Ilebo,CD,-4.3167,20.5833,24.27,80,98,1.38,overcast clouds
247,Bogorodskoye,RU,56.55,37.8833,-2.32,90,100,4.78,overcast clouds
248,Zaltan,LY,32.947,11.8665,20.89,33,0,6.96,clear sky
249,Khartoum,SD,15.5518,32.5324,32.23,14,23,4.01,few clouds
250,Kalmunai,LK,7.4167,81.8167,25.41,85,45,3.45,scattered clouds
251,Megion,RU,61.0296,76.1136,-10.99,99,89,1.12,overcast clouds
252,Clyde River,CA,70.4692,-68.5914,-9.87,85,75,1.03,broken clouds
253,Chara,RU,56.9064,118.2631,-9.88,77,100,0.82,overcast clouds
254,Lebu,CL,-37.6167,-73.65,15.28,79,0,7.51,clear sky
255,Porto Walter,BR,-8.2686,-72.7439,18.76,99,100,1.9,overcast clouds
256,Longyearbyen,SJ,78.2186,15.6401,-18.09,71,20,5.66,few clouds
257,Vilhena,BR,-12.7406,-60.1458,21.12,78,75,4.63,broken clouds
258,Halifax,CA,44.6453,-63.5724,11.94,98,100,11.32,light intensity drizzle
259,Nantucket,US,41.2835,-70.0995,15.06,76,100,6.69,overcast clouds
260,Inhambane,MZ,-23.865,35.3833,24.99,94,20,3.09,few clouds
261,Hambantota,LK,6.1241,81.1185,26.3,81,36,2.91,scattered clouds
262,Pathein,MM,16.7833,94.7333,24.48,91,90,3.7,overcast clouds
263,Biltine,TD,14.5333,20.9167,30.74,8,18,4.2,few clouds
264,Walvis Bay,NA,-22.9575,14.5053,16.53,82,0,2.06,clear sky
265,Lasa,IT,46.6166,10.7002,4.49,96,100,2.42,overcast clouds
266,Poronaysk,RU,49.2167,143.1167,-11.38,90,95,1.74,overcast clouds
267,Berezanka,UA,46.8526,31.388,10.69,66,0,8.14,clear sky
268,Babati,TZ,-4.2167,35.75,18.28,78,76,0.7,broken clouds
269,Luderitz,NA,-26.6481,15.1594,17.6,65,0,8.73,clear sky
270,Dwarka,IN,22.2394,68.9678,26.08,69,0,4.56,clear sky
271,Souillac,MU,-20.5167,57.5167,24.21,100,75,5.66,light intensity shower rain
272,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,19.58,93,100,3.06,overcast clouds
273,Pacific Grove,US,36.6177,-121.9166,20.75,74,0,3.58,clear sky
